date,headline,sentiment_score
2023-01-01,Speculation rises on potential ETF approval for Bitcoin.,0.4767
2023-01-03,Crypto market rebounds after major liquidation event.,0.0
2023-01-05,Market sentiment improves amid lower volatility and steady inflow.,0.1531
2023-01-07,Bearish sentiment grows as market experiences sharp decline.,0.0
2023-01-09,Crypto market rebounds after major liquidation event.,0.0
2023-01-11,BTC drops as traders take profit after short rally.,0.4404
2023-01-13,BTC drops as traders take profit after short rally.,0.4404
2023-01-15,Major outflows from exchanges signal possible accumulation.,0.0
2023-01-17,Market sentiment improves amid lower volatility and steady inflow.,0.1531
2023-01-19,Major outflows from exchanges signal possible accumulation.,0.0
2023-01-21,Bearish sentiment grows as market experiences sharp decline.,0.0
2023-01-23,Bitcoin is surging after strong whale accumulation.,0.5106
2023-01-25,Market sentiment improves amid lower volatility and steady inflow.,0.1531
2023-01-27,Bitcoin is surging after strong whale accumulation.,0.5106
2023-01-29,Bearish sentiment grows as market experiences sharp decline.,0.0
2023-01-31,Speculation rises on potential ETF approval for Bitcoin.,0.4767
2023-02-02,Analysts predict recovery as BTC stabilizes above key support.,0.4019
2023-02-04,Bearish sentiment grows as market experiences sharp decline.,0.0
2023-02-06,Analysts predict recovery as BTC stabilizes above key support.,0.4019
2023-02-08,Bearish sentiment grows as market experiences sharp decline.,0.0
2023-02-10,Crypto market rebounds after major liquidation event.,0.0
2023-02-12,Speculation rises on potential ETF approval for Bitcoin.,0.4767
2023-02-14,Bearish sentiment grows as market experiences sharp decline.,0.0
